Data;Preco_Fechamento;Volume;SMA_7;SMA_21;RSI;Volatilidade
2025-08-01;115700,0;45238249453;117758,44428571427;118175,77714285714;49,32247222207305;1092,1455685799451
2025-08-02;113234,61;65794680822;117143,27285714285;117969,28095238096;41,94986625966863;2038,191699128724
2025-08-03;112554,9;33543439044;116371,1814285714;117737,65904761903;40,167198377099595;2618,50305911365
2025-08-04;114199,11;24689273719;115625,49571428572;117503,44714285714;46,13067724156019;2333,676076415703
2025-08-05;115138,69;32488023582;115216,26571428572;117279,87666666668;49,24389699606694;2085,146134359627
2025-08-06;114128,35;37316213251;114684,12857142858;117110,83666666666;46,15498628219518;1748,0643997825578
2025-08-07;115022,1;32052509631;114282,53714285714;116933,40523809523;49,19115205029893;1110,7630292715828
2025-08-08;117463,47;38289687095;114534,46142857142;116839,02904761904;56,42000507620629;1584,6997093730783
2025-08-09;116688,37;33017415812;115027,85571428572;116777,09666666665;53,802765589852164;1648,9027646088928
2025-08-10;116510,08;27638785406;115592,88142857143;116710,83238095236;53,1915326111267;1301,280294333504
2025-08-11;119266,93;37157754754;116316,85571428573;116806,54714285715;60,63799825002782;1734,3127924344567
2025-08-12;118773,8;61739781527;116836,15714285715;116868,03904761907;58,835003257199844;1862,249004509644
2025-08-13;120202,53;46941089789;117703,89714285714;116879,7880952381;62,32979331009127;1804,4974307723521
2025-08-14;123560,99;61818118105;118923,73857142858;117114,6419047619;68,99355782035597;2457,460576548098
2025-08-15;118405,6;73822008367;119058,32857142856;117117,07809523807;53,38266012646279;2389,0010783285147
2025-08-16;117339,79;44268714220;119151,38857142857;117107,50571428568;50,82243724785691;2292,0153780581027
2025-08-17;117501,22;23202714236;119292,98000000001;117085,68095238094;51,204161268458016;2126,272770822355
2025-08-18;117542,84;20906566026;119046,68142857142;116996,34428571428;51,30909927486744;2227,2511416814823
2025-08-19;116256,41;47337926940;118687,05428571429;116913,15904761902;47,88152582294002;2468,7957417404245
2025-08-20;112778,34;46156885037;117626,45571428571;116671,49380952377;40,08484988492982;3196,661462844535
2025-08-21;114252,4;42166369117;116296,65714285715;116500,9776190476;44,22967493684387;2045,2739074502654
2025-08-22;112414,4;32048202090;115440,77142857143;116344,52047619048;40,470257517600515;2258,1471090299738
2025-08-23;116834,25;50878158870;115368,55142857143;116515,93190476189;51,209806624153245;2194,4768204032316
2025-08-24;115359,98;27306719885;115062,66;116649,50714285714;48,09314668527315;1987,0909374860942
2025-08-25;113399,55;40682656776;114470,76142857142;116611,43285714286;44,23759290374468;1724,9839115540015
2025-08-26;110185,35;52854872363;113603,46714285715;116375,55952380953;38,75221731674038;2151,132709991662
2025-08-27;111842,71;43023800053;113469,8057142857;116266,71952380952;42,69783118206207;2238,250987110424
2025-08-28;111216,08;36957904262;113036,0457142857;116085,48047619048;41,60648079472932;2352,6012731939904
2025-08-29;112525,6;34222495087;113051,93142857142;115850,34380952381;44,782760351425225;2348,0751494759206
2025-08-30;108480,31;51702115726;111858,51142857142;115459,48380952381;37,92072554689926;2225,038242409776
2025-08-31;108781,96;27799981330;110918,79428571429;115091,47809523808;38,675323589717785;1858,681407925155
2025-09-01;108253,36;26140904019;110183,6242857143;114567,02238095237;37,808038849654544;1727,003472887762
2025-09-02;109162,69;42999610648;110037,52999999998;114109,35047619048;40,28867737320304;1769,5642131904792
2025-09-03;111190,18;50235464642;109944,31142857141;113680,19095238096;45,50766793314169;1673,1828104599597
2025-09-04;111711,52;36406080683;110015,08857142857;113115,9304761905;46,795401454085166;1744,8882156799368
2025-09-05;110724,74;38708366685;109757,82285714283;112750,17523809522;44,64486837216497;1414,5345108414592
2025-09-06;110662,18;56020470627;110069,51857142858;112432,1938095238;44,50522669615975;1323,5804035338115
2025-09-07;110209,19;19340758702;110273,40857142858;112084,95428571428;43,44556910305614;1195,958027142033
2025-09-08;111131,99;22147049159;110684,64142857143;111779,6757142857;46,2530205458284;822,0576029202175
2025-09-09;112025,13;37159847899;111093,56142857143;111578,18619047618;48,897176987349305;627,7919917608677
2025-09-10;111547,44;45338021458;111144,59857142856;111519,57190476192;47,549788093073374;651,0470783175064
2025-09-11;113975,32;52205187155;111467,99857142857;111506,37761904765;54,42383796349682;1258,4808811364098
2025-09-12;115503,17;43752917632;112150,63142857142;111653,46190476192;58,14163656862378;1913,5876689052204
2025-09-13;116160,14;51192951485;112936,05428571427;111621,36142857144;59,665257402597966;2291,773493643588
2025-09-14;115970,58;30063858747;113759,11;111650,43761904762;58,99796294145253;2181,129943906532
2025-09-15;115373,56;26889399414;114365,04857142858;111744,43809523812;56,841756425143124;1900,8123454162642
2025-09-16;115397,25;46947581231;114846,78;111992,62380952382;56,90905412620402;1614,7388910820148
2025-09-17;116762,85;39964451595;115591,83857142858;112226,9161904762;60,71215468515934;870,266626148187
2025-09-18;116455,95;54740952295;115946,21428571428;112476,43380952382;59,4424390528551;547,5194432789032
2025-09-19;117145,5;43642467075;116180,83285714287;112696,42904761905;61,395955985868774;665,2495912040117
2025-09-20;115655,81;34296721252;116108,78571428571;113038,11952380952;55,20908931437318;694,5295028783901
2025-09-21;115715,52;18774953731;116072,34857142856;113368,28904761905;55,40307592219758;709,5175387925248
2025-09-22;115304,48;18659113982;116062,47999999998;113704,05666666667;53,67957075554022;721,2403415458999
2025-09-23;112696,74;69152342029;115676,69285714284;113872,34476190475;44,27029826514974;1469,9761074691705
2025-09-24;112022,17;46154878824;114999,45285714284;113911,9633333333;42,20918709348379;1911,8141641897605
2025-09-25;113320,57;46677543220;114551,54142857142;113988,58476190474;47,29549743557273;1880,7397293051683
2025-09-26;108963,53;74481796351;113382,68857142857;113904,71761904759;35,88260469022244;2454,8191793666592
2025-09-27;109710,21;55257214020;112533,31714285715;113859,38571428569;38,61633946306153;2563,422786145297
2025-09-28;109654,81;23294896964;111667,50142857143;113832,98666666665;38,48522985483123;2321,5924374199976
2025-09-29;112142,57;31274654338;111215,8;113881,1095238095;47,16088619795583;1727,6470717630023
2025-09-30;114309,15;57833295882;111446,14428571428;113989,87238095235;53,33362542490328;2037,6787421229892
2025-10-01;114024,23;57718901820;111732,15285714284;114107,81476190477;52,46560493108284;2260,3437033178398
2025-10-02;118503,24;69920179085;112472,53428571427;114323,43;62,73368233577708;3419,120778816341
2025-10-03;120611,72;71252850672;114136,56142857143;114566,6942857143;66,41191001126496;4177,17308894664
2025-10-04;122250,15;83155430408;115927,98142857142;114856,69476190476;68,97452659303728;4627,203678834626
2025-10-05;122380,94;35161626561;117746,0;115161,95000000001;69,1766929514217;4235,1256805916755
2025-10-06;123506,19;72011486031;119369,3742857143;115549,21809523812;70,93166343455395;3893,4066007593283
2025-10-07;124773,51;69605991064;120864,28285714285;115995,70666666667;72,80938649968049;3626,4592761901295
2025-10-08;121518,76;76087884719;121934,93;116222,17857142857;61,77301760589792;2021,767436413501
2025-10-09;123352,5;62576032795;122627,68142857144;116550,58571428571;64,9926268579262;1378,3406725684913
2025-10-10;121698,03;72097306668;122782,86857142855;116767,37285714285;60,07628534874854;1156,900169269854
2025-10-11;113201,74;151002213089;121490,23857142855;116650,51238095236;42,35665313901788;3826,410359103699
2025-10-12;110853,12;108643865752;119843,40714285715;116418,96952380952;38,937722513791;5495,741739540867
2025-10-13;115189,57;93857100744;118655,31857142856;116413,49761904759;47,38278355573442;5470,837905432921
2025-10-14;115222,28;68935270367;117290,85714285716;116533,76142857141;47,44183097296594;4845,988149507178
2025-10-15;113156,57;91211854988;116096,25857142858;116587,78047619044;44,077753565264324;4657,061202323555
2025-10-16;110708,67;68877328886;114289,99714285714;116463,40428571425;40,42003545641417;3734,173776530684
2025-10-17;108076,73;84773160808;112344,09714285714;116421,1757142857;36,876718194103184;2610,375862654387
2025-10-18;106443,61;94325236794;111378,65;116265,62333333331;34,8360648441773;3377,374542921037
2025-10-19;107156,0;34412835719;110850,48999999999;116146,63238095237;36,48712591762502;3742,5898600083774
2025-10-20;108621,13;45373692612;109912,14142857143;115978,94476190476;39,86192842408739;3266,51745324457
2025-10-21;110608,57;60452111148;109253,04;115802,72666666665;44,19376319898108;2354,688793642056
2025-10-22;108486,1;105841401713;108585,82999999999;115539,00619047618;40,81272414710488;1607,36959571734
2025-10-23;107618,43;83996418125;108144,36714285715;115020,6819047619;39,482894855411686;1327,0901136296245
2025-10-24;110048,52;56192643013;108426,05142857142;114517,67238095238;44,89815031063276;1507,3602799101313
2025-10-25;110997,8;49120903424;109076,65000000001;113981,84619047621;46,89716136829958;1491,8488121354837
2025-10-26;111620,31;23214874411;109714,40857142856;113469,43523809526;48,22369050950201;1488,166381530613
2025-10-27;114476,01;42483268634;110550,81999999999;113039,4266666667;53,911471120236875;2231,1557789489484
2025-10-28;114182,79;63764801510;111061,42285714285;112535,10666666667;53,26445526105315;2621,424572440455
2025-10-29;112950,35;66299512352;111699,17285714287;112127,08714285717;50,520013134147014;2426,241373983267
2025-10-30;110046,67;64235327509;112046,06428571428;111493,47619047621;44,67900594725224;1850,9389965275543
2025-10-31;108240,77;72648897659;111787,81428571428;110852,6542857143;41,467822305432;2257,5459021984457
2025-11-01;109573,91;58800487940;111584,40142857142;110679,9004761905;44,631492496139664;2400,2323875238885
2025-11-02;110014,14;24938475577;111354,94857142857;110639,94904761905;45,67568209020724;2471,928542579363
2025-11-03;110650,21;35098774843;110808,4057142857;110423,78904761905;47,22435622481242;2054,558049313591
2025-11-04;106521,09;75068433317;109713,87714285713;110009,44666666667;39,376664066895415;1997,327791432199
2025-11-05;101635,27;108965721650;108097,43714285715;109460,81333333332;32,49547561182539;3173,7175556162492
2025-11-06;103877,96;77083907216;107216,19285714286;109135,54142857142;37,86319628765009;3391,244533770223
2025-11-07;101322,64;64118217249;106227,88857142857;108813,91809523808;34,49728494081084;3996,878497800896
2025-11-08;103396,08;93627003785;105345,34142857142;108668,7976190476;39,218841894561045;3812,7260703748602
2025-11-09;102290,14;51095924202;104241,91285714286;108437,09;37,65955547197906;3322,5234864770914
2025-11-10;104709,68;59952468437;103393,2657142857;108250,83047619046;42,9990388021452;1841,4710571704063
2025-11-11;105909,07;67546556819;103305,83428571427;108027,04476190475;45,49137633202087;1675,2398129411026
2025-11-12;102960,78;71008299178;103495,19285714286;107763,93428571426;40,77203367312794;1522,9276264566631
2025-11-13;101521,71;63332414142;103158,58571428571;107473,61428571425;38,66364058641608;1676,8444896082444
2025-11-14;99730,45;100463341916;102931,12999999999;106982,2776190476;36,15726488341088;2036,750260832402
2025-11-15;94456,39;113198323665;101654,03142857143;106194,59142857142;29,992374030949406;3765,5961012631055
2025-11-16;95508,31;39062120798;100685,19857142857;105427,35333333333;32,46567360716041;4394,562587533311
2025-11-17;94411,33;72645149972;99214,00571428573;104471,89238095237;31,226710731384745;4543,9923550545755
2025-11-18;92036,73;95794596045;97232,24285714285;103417,31809523808;28,675634973450954;4144,975107929535
2025-11-19;92819,76;103837258806;95783,52571428572;102458,71857142857;30,68652090219703;3536,648826209107
2025-11-20;91363,28;82897875507;94332,32142857142;101569,03333333333;29,046125519065228;2796,3418259477257
2025-11-21;86649,97;99171039191;92463,6814285714;100540,9;24,4846889557774;2953,901061773038
2025-11-22;85051,8;135093457122;91120,16857142856;99373,18047619046;23,156765679509654;3887,6535377152604
2025-11-23;84682,62;42644968955;89573,64142857143;98166,9176190476;22,848492446332394;4002,647523058042
2025-11-24;86783,85;60446592409;88484,00142857141;97030,42428571427;28,668944019758975;3468,8043414759254
2025-11-25;88229,36;77606296173;87940,09142857142;96159,38952380951;32,444699692408236;3097,518272608253
2025-11-26;87310,33;67956444142;87153,03;95477,24952380951;31,3099479781467;2229,2334608696274
2025-11-27;90474,23;69690430587;87026,02285714286;94838,97666666665;39,19451082154723;1958,2364351420558
2025-11-28;91279,06;59295194347;87687,32142857143;94360,71095238095;41,04824146679336;2513,0936512146263
2025-11-29;90950,38;62833195066;88529,97571428571;93768,05857142856;40,50515627598166;2470,659578673249
2025-11-30;90841,45;39253888201;89409,80857142856;93222,88285714283;40,314787076768326;1903,811042263012
2025-12-01;90406,28;40334819409;89927,29857142855;92541,76857142856;39,515775614687975;1525,871581329648
2025-12-02;86281,5;92988982967;89649,03285714284;91607,12238095238;32,86657274820464;1993,17726562028
2025-12-03;91344,73;83138039128;90225,3757142857;91053,97714285711;45,082383641387445;1775,6310519804408
2025-12-04;93619,44;81429135004;90674,69142857142;90677,67857142857;49,525978490850726;2197,033812471499
2025-12-05;92140,7;67878296355;90797,78285714284;90316,26190476188;46,87090479406304;2259,778923616044
2025-12-06;89307,09;50193142876;90563,02714285714;90071,05714285711;42,20205353050869;2325,6795526725505
2025-12-07;89244,76;24818678152;90334,92857142857;89772,79285714283;42,10270568768877;2371,6667330120918
2025-12-08;90162,91;33912893266;90300,16142857142;89570,48714285712;44,18701099259044;2372,2301967367266
2025-12-09;90618,05;45466493941;90919,66857142857;89502,93095238094;45,239426177431085;1582,7058267335915
2025-12-10;92723,21;54575121853;91116,59428571428;89498,33333333333;49,9411536132334;1723,8702924787663
2025-12-11;92005,14;52189659395;90885,98;89528,89809523808;48,41419069011518;1413,2332248649416
2025-12-12;92494,18;53232377699;90936,47714285713;89807,19380952381;49,54562931027205;1470,6860144569682
2025-12-13;90307,26;67750393558;91079,35857142856;90057,45380952381;44,812256020358184;1327,6301035968256
2025-12-14;90257,43;35222775785;91224,0257142857;90322,92095238094;44,707449578679395;1135,7027732161514
2025-12-15;88230,77;33808538697;90948,0057142857;90391,82190476189;40,55321383924073;1583,2050121901748
2025-12-16;86413,92;50630498834;90347,4157142857;90305,37238095237;37,21473213661695;2343,904602657118
2025-12-17;87821,89;48317754254;89647,22714285713;90329,73238095237;41,25102811162491;2245,9358151526862
2025-12-18;86064,95;48886793507;88798,62857142858;90119,76666666666;37,97066674040681;2327,2833179859667
2025-12-19;85450,33;58649139178;87792,36428571428;89842,2080952381;36,866207195481714;1956,3364624700237
2025-12-20;88103,86;51932451056;87477,59285714285;89706,65952380953;44,387248435352795;1635,1491209728222
2025-12-21;88347,94;17103607834;87204,80857142857;89587,92095238097;45,03586548321713;1193,8318299668151
2025-12-22;88577,42;22541294542;87254,32999999999;89500,83238095239;45,67735886885596;1249,3802001503154
2025-12-23;88491,12;41948947368;87551,07285714285;89606,0523809524;45,46246875182912;1263,1093631926258
2025-12-24;87406,44;46353794741;87491,72285714286;89418,51476190475;42,74080967544327;1258,0137361007608
2025-12-25;87642,61;29100645180;87717,10285714285;89133,9038095238;43,533456442403654;1089,8856587206456
2025-12-26;87229,78;22773603342;87971,30999999998;88900,05047619047;42,42780991110959;543,7493257263669
2025-12-27;87305,96;47130449135;87857,32428571429;88804,75857142857;42,7169270696816;592,7551340897415
2025-12-28;87807,0;15670944599;87780,04714285715;88736,2938095238;44,684470397580625;551,9931084880457
2025-12-29;87822,91;17428479525;87672,26000000001;88624,86523809523;44,74936636705826;430,67497895101275
2025-12-30;87156,56;53957962807;87481,60857142857;88460,03238095237;42,500411741846676;275,03473867014736
2025-12-31;88414,63;39734225800;87625,6357142857;88254,8619047619;47,83120339863236;442,2549400021999
2026-01-01;87520,18;37245075349;87608,14571428571;88041,29238095238;44,66097112867908;443,88963950101913
2026-01-02;88727,67;21163124465;87822,13;87861,93476190476;49,524715161169624;573,2767166571205
2026-01-03;89926,28;50705395175;88196,46142857142;87843,79285714285;53,85980078674626;926,644914719531
2026-01-04;90593,85;23480735292;88594,58285714284;87859,81285714287;56,1202098592787;1267,4325651167946
2026-01-05;91373,22;31050236622;89101,76999999999;88009,45333333334;58,66613234846444;1579,1867965701633
2026-01-06;93926,8;59451605754;90068,94714285713;88367,20952380954;65,69020809763992;2156,8509764590303
2026-01-07;93666,86;57439451725;90819,2657142857;88645,54142857144;64,48884015841564;2386,7482347307987
2026-01-08;91257,16;47910812257;91353,12;88892,78952380951;54,53239088127338;1892,625375969094
2026-01-09;90983,52;48319133568;91675,38428571429;89156,27476190476;53,52185357193534;1528,0064054809502
2026-01-10;90504,9;43664879516;91758,04428571429;89270,60999999999;51,71665819944772;1430,131717869897
2026-01-11;90442,02;13961660357;91736,35428571429;89370,32809523809;51,47103896424311;1451,7195996326204
2026-01-12;90819,37;19870776213;91657,23285714285;89477,08761904761;52,91621190654337;1489,4132537857695
2026-01-13;91134,97;46923085427;91258,4;89602,98523809524;54,14611884849315;1104,419982296342
2026-01-14;95260,44;66844465446;91486,05428571429;89976,98523809524;66,47431713637368;1691,7111779272743
2026-01-15;97007,78;68433627980;92307,57142857142;90422,94571428571;70,13659658571464;2673,4543701255434
2026-01-16;95584,83;59629891835;92964,90142857142;90820,80523809524;64,00485723894593;2853,26953017824
2026-01-17;95516,08;37208122951;93680,78428571427;91211,76333333334;63,715023731444795;2760,3251405631013
2026-01-18;95099,53;17839431205;94346,14285714284;91559,02666666667;61,88645869702284;2385,39655658903
2026-01-19;93752,71;23132534225;94765,19142857142;91841,39809523808;56,264000071261115;1863,0407146501266
2026-01-19;92973,41;41862391461;95027,82571428572;92118,39095238094;53,249429874375906;1314,956267824806
